ID,Start time,Completion time,Email,Name,Last modified time,Question,Please select the appropriate consent statement below.,How do you usually ride your skateboard?,"With which foot forward do you do your highest ollies on a skateboard?
","When you skate an obstacle with transition like a bowl or a half-pipe, which foot forward feels most comfortable?
",What foot forward do you feel the most safe riding fast down a hill on a skateboard?,"When you snowboard, which foot forward do you feel most comfortable carving down the mountain with?
","When you surf, which foot forward do you feel most comfortable when you ride a wave?
",Almost all of my friends (more than 90%) share my same stance.,"One or more of my parents share my same stance when they skateboard, snowboard, and/or surf.
","My favorite skateboarder has the same stance as me.
","I started skateboarding with a different stance than the one I have now.
","In recent memory, I recall seeing skateboarding magazine ads or online posts in skate-
boarding, and I have tried to figure out what stance they are.","I have the same stance whether I skate any obstacle, snowboard any hill, or surf any wave.","Usually, when you write with a pen or pencil, which hand do you use?","Usually, when you throw a ball, which hand do you use?
","Which hand do you feel more control when swinging a hammer?
","Usually, when you kick a ball into a goal, which foot do you use?
","Usually, when you sweep a floor from the side, which foot seems more naturally in front?
","If you were to step on a guitar pedal, which foot would you use?
","To stand on a chair, which foot do you use to get up on the chair?
",Take a moment to test your preferred eye. 1) Stretch your arms out in front of you and 2) with your hands make an O shaped hole and 3) line up the O shaped hole to frame an object. Which eye do yo...,Take a moment to pinpoint an object in the distance and align your thumb over it. Which eye do you need to close to do so?,How many years have you been skateboarding,"In the last few years, how often do you skateboard?",What would your say your skateboarding expertise level is?,Gender:,Race (Mark ONLY one with which you MOST CLOSELY identify),Age,Ethnicity (Mark ONLY one with which you MOST CLOSELY identify):,Residence Locality (Mark ONLY one with which you CURRENTLY live),Identity Locality (Mark ONLY one with which you IDENTIFY as your home locality)
272,5/11/24 21:24:04,5/11/24 21:27:53,anonymous,,,5/11/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,I do not snowboard enough to know,I do not surf enough to know,Disagree,Agree,I do not know the stance of my favorite skateboarder,Strongly disagree,Strongly disagree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Mostly Right    ,Always Right    ,Right    ,Always Right    ,20+ years,Yearly,Intermediate (I can occasionally land simple tricks),Non-binary,White,46-55,Not Hispanic or Latino,North America;,North America;
273,5/11/24 21:24:36,5/11/24 21:31:18,anonymous,,,5/11/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,I do not surf enough to know,Strongly disagree,I do not know,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Always Right    ,Always Right    ,Always Right    ,Right    ,Always Right    ,20+ years,Seasonal (summer),Intermediate (I can occasionally land simple tricks),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
274,5/11/24 21:41:58,5/11/24 21:47:10,anonymous,,,5/11/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,I do not snowboard enough to know,I do not surf enough to know,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Mostly Right    ,Mostly Right    ,Neither,Mostly Right    ,11-20 years,Daily,Advanced (I can occasionally land complex tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
275,5/11/24 21:47:43,5/11/24 21:52:31,anonymous,,,1/25/1992,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,I do not snowboard enough to know,I do not surf enough to know,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Mostly Left    ,Mostly Right    ,Right    ,Mostly Right    ,11-20 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
276,5/11/24 21:58:28,5/11/24 22:02:37,anonymous,,,,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,I do not snowboard enough to know,Always Right    ,Disagree,I do not know,Agree,Strongly disagree,Strongly Agree,Agree,Always Right    ,Mostly Right    ,Always Right    ,Mostly Right    ,Both Equally    ,Mostly Right    ,Mostly Right    ,Neither,Mostly Left    ,20+ years,Daily,Advanced (I can occasionally land complex tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
277,5/11/24 21:53:44,5/11/24 22:05:27,anonymous,,,5/11/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,I do not surf enough to know,Disagree,Strongly Agree,Disagree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Mostly Right    ,Mostly Left    ,Right    ,Mostly Right    ,11-20 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
278,5/11/24 22:11:24,5/11/24 22:16:14,anonymous,,,5/11/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,I do not snowboard enough to know,Always  Left,Disagree,I do not know,Disagree,Disagree,Agree,Neutral,Always Right    ,Always Right    ,Always Right    ,Always  Left,Mostly Left    ,Mostly Left    ,Mostly Left    ,Left    ,Mostly Right    ,11-20 years,Weekly,Intermediate (I can occasionally land simple tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
279,5/11/24 22:23:23,5/11/24 22:28:37,anonymous,,,,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,I do not surf enough to know,Disagree,I do not know,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Always  Left,Right    ,Always Right    ,5-10 years,Monthly,Advanced (I can occasionally land complex tricks),Woman,White,20 and under,Not Hispanic or Latino,North America;,North America;
280,5/11/24 22:22:39,5/11/24 22:31:27,anonymous,,,5/11/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,Always  Left,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Mostly Right    ,Always Right    ,Both Equally    ,Left    ,Mostly Left    ,20+ years,Daily,Advanced (I can occasionally land complex tricks),Man,Black or African American,46-55,Hispanic or Latino,North America;,North America;
281,5/11/24 23:03:29,5/11/24 23:07:53,anonymous,,,5/11/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Mostly Left    ,Both Equally    ,Mostly Left    ,Mostly Left    ,I do not surf enough to know,Neutral,I do not know,Disagree,Strongly disagree,Disagree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Always  Left,Mostly Left    ,Mostly Right    ,Left    ,Always  Left,20+ years,Weekly,Expert (I can consistently land complex tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
282,5/11/24 23:24:37,5/11/24 23:28:09,anonymous,,,5/11/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Mostly Left    ,Mostly Left    ,Mostly Left    ,Always  Left,Neutral,I do not know,Agree,Strongly disagree,Agree,Agree,Always Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Mostly Left    ,Both Equally    ,Both Equally    ,Right    ,Mostly Right    ,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,Unknown or not reported,46-55,Unknown or not reported,North America;,North America;
283,5/11/24 23:47:44,5/11/24 23:54:09,anonymous,,,5/11/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,I do not snowboard enough to know,Always Right    ,Neutral,I do not know,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Both Equally    ,Always  Left,Left    ,Always  Left,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
284,5/12/24 0:21:35,5/12/24 0:23:55,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Mostly Left    ,I do not surf enough to know,Neutral,Neutral,Neutral,Strongly disagree,Disagree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Mostly Left    ,Mostly Left    ,Neither,Both Equally    ,20+ years,Monthly,Advanced (I can occasionally land complex tricks),Man,White,46-55,Not Hispanic or Latino,Asia;,Asia;
285,5/12/24 0:52:21,5/12/24 0:56:59,anonymous,,,5/11/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Disagree,I do not know,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Mostly Right    ,Always Right    ,Both Equally    ,Mostly Left    ,Both Equally    ,Mostly Right    ,Left    ,Mostly Left    ,20+ years,Daily,Sponsored/Pro (I regularly receive skateboard products for free from companies),Woman,White,26-35,Not Hispanic or Latino,North America;,North America;
286,5/12/24 0:56:45,5/12/24 1:03:12,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,I do not snowboard enough to know,I do not surf enough to know,Disagree,I do not know,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always  Left,Always  Left,Always  Left,Mostly Left    ,Always Right    ,Mostly Left    ,Both Equally    ,Right    ,Always Right    ,5-10 years,Weekly,Intermediate (I can occasionally land simple tricks),Man,White,46-55,Not Hispanic or Latino,Other;,Other;
287,5/12/24 1:26:36,5/12/24 1:32:30,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,I do not snowboard enough to know,I do not surf enough to know,Disagree,I do not know,Neutral,Strongly disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Both Equally    ,Both Equally    ,Mostly Left    ,Right    ,Mostly Left    ,11-20 years,Weekly,Advanced (I can occasionally land complex tricks),Man,Black or African American,26-35,Not Hispanic or Latino,North America;,North America;
288,5/12/24 1:38:35,5/12/24 1:42:41,anonymous,,,5/11/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,I do not surf enough to know,Disagree,I do not know,I do not know the stance of my favorite skateboarder,Disagree,Disagree,Disagree,Always Right    ,Mostly Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Mostly Left    ,Both Equally    ,Right    ,Mostly Right    ,20+ years,Weekly,Sponsored/Pro (I regularly receive skateboard products for free from companies),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
289,5/12/24 1:42:11,5/12/24 1:47:32,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Neutral,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Always Right    ,Mostly Right    ,Left    ,Mostly Left    ,11-20 years,Seasonal (summer),Intermediate (I can occasionally land simple tricks),Man,White,36-45,Not Hispanic or Latino,Europe;,Europe;
290,5/12/24 2:20:34,5/12/24 2:24:15,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,I do not snowboard enough to know,I do not surf enough to know,Agree,I do not know,Agree,Strongly disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Left    ,Always  Left,20+ years,Daily,Intermediate (I can occasionally land simple tricks),Man,White,36-45,Not Hispanic or Latino,Europe;,Europe;
291,5/12/24 3:44:31,5/12/24 3:51:56,anonymous,,,8/17/1989,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Mostly Right    ,Always  Left,Always  Left,Both Equally    ,Always  Left,Neutral,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Mostly Right    ,Both Equally    ,Mostly Right    ,Mostly Right    ,Mostly Left    ,Mostly Right    ,Mostly Left    ,Neither,Both Equally    ,11-20 years,Weekly,Intermediate (I can occasionally land simple tricks),Man,White,26-35,Not Hispanic or Latino,Europe;,Europe;
292,5/12/24 4:08:33,5/12/24 4:12:20,anonymous,,,10/30/1984,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,I do not snowboard enough to know,I do not surf enough to know,Agree,I do not know,Agree,Strongly disagree,Agree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Mostly Right    ,Mostly Left    ,Left    ,Always Right    ,20+ years,Weekly,Intermediate (I can occasionally land simple tricks),Man,Asian,36-45,Not Hispanic or Latino,North America;,North America;
293,5/12/24 4:20:17,5/12/24 4:25:13,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Mostly Left    ,Always  Left,Disagree,I do not know,Neutral,Agree,Agree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Mostly Right    ,Mostly Right    ,Left    ,Always  Left,11-20 years,Weekly,Intermediate (I can occasionally land simple tricks),Man,White,26-35,Not Hispanic or Latino,Europe;,Europe;
294,5/12/24 4:26:04,5/12/24 4:29:37,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,I do not snowboard enough to know,I do not surf enough to know,Agree,I do not know,Neutral,Strongly disagree,Strongly Agree,Strongly Agree,Always  Left,Always  Left,Always  Left,Always  Left,Mostly Left    ,Mostly Left    ,Both Equally    ,Left    ,Always  Left,20+ years,Daily,Expert (I can consistently land complex tricks),Man,White,36-45,Not Hispanic or Latino,Europe;,Europe;
295,5/12/24 4:46:37,5/12/24 4:54:39,anonymous,,,4/22/1995,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,Always  Left,Disagree,I do not know,Neutral,Strongly disagree,Neutral,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always  Left,Both Equally    ,Both Equally    ,Right    ,Mostly Right    ,11-20 years,Weekly,Advanced (I can occasionally land complex tricks),Man,Asian,26-35,Not Hispanic or Latino,Europe;,Europe;
296,5/12/24 7:05:37,5/12/24 7:13:25,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Disagree,I do not know,I do not know the stance of my favorite skateboarder,Strongly disagree,Disagree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Both Equally    ,Mostly Left    ,Left    ,Both Equally    ,3-5 years,Every other week,Intermediate (I can occasionally land simple tricks),Man,White,26-35,Not Hispanic or Latino,Europe;,Europe;
297,5/12/24 8:14:54,5/12/24 8:18:49,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with left right foot (regular mongo stance)",Always  Left,Always  Left,Always  Left,Always  Left,I do not surf enough to know,Strongly disagree,I do not know,Disagree,Strongly disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Always  Left,Always Right    ,Mostly Left    ,Right    ,Always  Left,3-5 years,Daily,Intermediate (I can occasionally land simple tricks),Man,White,36-45,Not Hispanic or Latino,Europe;,Europe;
298,5/12/24 8:24:03,5/12/24 8:28:35,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Neutral,I do not know,I do not know the stance of my favorite skateboarder,Strongly disagree,Neutral,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Always Right    ,Always Right    ,Right    ,Always  Left,20+ years,Weekly,Expert (I can consistently land complex tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
299,5/12/24 8:32:28,5/12/24 8:37:58,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Mostly Right    ,Always Right    ,I do not snowboard enough to know,Mostly Right    ,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Left    ,Always  Left,3-5 years,Daily,Intermediate (I can occasionally land simple tricks),Man,More than one race,36-45,Not Hispanic or Latino,North America;,North America;
300,5/12/24 8:39:29,5/12/24 8:44:04,anonymous,,,10/4/1991,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Mostly Left    ,Mostly Left    ,Mostly Left    ,Always  Left,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Always Right    ,Always Right    ,Always Right    ,Always  Left,Mostly Left    ,Mostly Left    ,Mostly Left    ,Left    ,Mostly Left    ,20+ years,Daily,Sponsored/Pro (I regularly receive skateboard products for free from companies),Man,More than one race,26-35,Unknown or not reported,Europe;,Europe;
301,5/12/24 9:22:57,5/12/24 9:26:40,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,I do not snowboard enough to know,I do not surf enough to know,Strongly disagree,I do not know,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always  Left,Always  Left,Both Equally    ,Neither,Always Right    ,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
302,5/12/24 9:57:01,5/12/24 10:00:52,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Mostly Left    ,Mostly Right    ,Always Right    ,I do not snowboard enough to know,I do not surf enough to know,Neutral,I do not know,Disagree,Strongly disagree,Agree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Mostly Right    ,Mostly Right    ,Left    ,Always  Left,11-20 years,Weekly,Intermediate (I can occasionally land simple tricks),Man,White,21-25,Not Hispanic or Latino,North America;,North America;
303,5/12/24 9:58:39,5/12/24 10:03:11,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,Always  Left,Neutral,I do not know,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Left    ,Always  Left,3-5 years,Daily,Intermediate (I can occasionally land simple tricks),Man,White,46-55,Unknown or not reported,North America;,North America;
304,5/12/24 10:08:43,5/12/24 10:15:06,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Mostly Left    ,Mostly Left    ,Always  Left,Mostly Left    ,I do not surf enough to know,Disagree,I do not know,Neutral,Disagree,Neutral,Agree,Always Right    ,Mostly Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Mostly Right    ,Mostly Left    ,Left    ,Always  Left,11-20 years,Every other week,Intermediate (I can occasionally land simple tricks),Man,More than one race,36-45,Not Hispanic or Latino,Europe;,Europe;
305,5/12/24 10:26:57,5/12/24 10:31:51,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Mostly Left    ,Always  Left,Always  Left,Always  Left,Agree,I do not know,Agree,Strongly disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Right    ,Always Right    ,20+ years,Seasonal (summer),Advanced (I can occasionally land complex tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
306,5/12/24 11:38:53,5/12/24 11:46:45,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Disagree,Disagree,Disagree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Right    ,Mostly Right    ,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Woman,White,26-35,Not Hispanic or Latino,North America;,North America;
307,5/12/24 13:52:06,5/12/24 13:57:05,anonymous,,,,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Mostly Left    ,Always  Left,Neutral,I do not know,Agree,Strongly disagree,Agree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always  Left,Always Right    ,Always Right    ,Right    ,Always  Left,20+ years,Every other week,Advanced (I can occasionally land complex tricks),Man,White,36-45,Unknown or not reported,Europe;,Europe;
308,5/12/24 15:00:03,5/12/24 15:04:37,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Mostly Left    ,I do not surf enough to know,Agree,I do not know,Neutral,Strongly disagree,Agree,Agree,Always Right    ,Always Right    ,Mostly Right    ,Always Right    ,Mostly Left    ,Mostly Right    ,Mostly Right    ,Left    ,Mostly Right    ,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
309,5/12/24 15:53:30,5/12/24 16:02:42,anonymous,,,8/5/1983,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Mostly Left    ,Always  Left,Always  Left,Always  Left,I do not surf enough to know,Neutral,I do not know,Agree,Strongly disagree,Neutral,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Mostly Right    ,Right    ,Mostly Left    ,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,36-45,Not Hispanic or Latino,Europe;,Europe;
310,5/12/24 17:06:44,5/12/24 17:11:07,anonymous,,,5/12/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,I do not surf enough to know,Disagree,I do not know,Neutral,Disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Mostly Right    ,Always Right    ,Neither,Mostly Left    ,20+ years,Weekly,Intermediate (I can occasionally land simple tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
311,5/12/24 17:46:52,5/12/24 17:50:34,anonymous,,,6/20/1994,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,I do not surf enough to know,Disagree,I do not know,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Left    ,Always Right    ,20+ years,Monthly,Intermediate (I can occasionally land simple tricks),Man,More than one race,26-35,Not Hispanic or Latino,North America;,North America;
312,5/12/24 18:34:46,5/12/24 18:38:46,anonymous,,,8/17/1990,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Neutral,I do not know,Neutral,Strongly disagree,Strongly Agree,Agree,Always  Left,Always  Left,Always  Left,Mostly Right    ,Mostly Right    ,Both Equally    ,Mostly Right    ,Right    ,Mostly Right    ,11-20 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
313,5/12/24 19:08:24,5/12/24 19:16:21,anonymous,,,5/13/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Neutral,I do not know,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Both Equally    ,Always Right    ,Left    ,Mostly Right    ,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,36-45,Not Hispanic or Latino,Europe;,North America;
314,5/13/24 10:33:11,5/13/24 10:37:51,anonymous,,,5/13/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Mostly Right    ,Both Equally    ,Both Equally    ,Mostly Right    ,Disagree,Agree,Neutral,Strongly disagree,Agree,Neutral,Always Right    ,Always Right    ,Mostly Right    ,Both Equally    ,Both Equally    ,Mostly Left    ,Both Equally    ,Left    ,Mostly Left    ,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
315,5/14/24 0:21:21,5/14/24 0:24:56,anonymous,,,5/14/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always Right    ,Mostly Right    ,Always Right    ,I do not snowboard enough to know,Mostly Right    ,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Right    ,Always Right    ,3-5 years,Daily,Advanced (I can occasionally land complex tricks),Man,Asian,21-25,Unknown or not reported,Asia;,Asia;
316,5/16/24 20:48:11,5/16/24 20:56:53,anonymous,,,5/16/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",I do not skateboard enough to know,Mostly Left    ,Mostly Left    ,I do not snowboard enough to know,Mostly Left    ,Neutral,Agree,Agree,Disagree,Disagree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Always Right    ,Mostly Right    ,Right    ,Mostly Left    ,Less than a year,Yearly,Novice (I can push around),Woman,White,26-35,Unknown or not reported,South America;Asia;,South America;
